id,sentiment140_score,sentiwordnet_score,created_at,favorite_count,hashtag_count,nouns_count,numerical_count,punctuation_count,retweets_count,uppercase_count,url_count,user_mentions_count,wiki_entities_count,word_count,url_in_newser,url_in_newser100
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
600974643579719680,2,-0.625,Wed May 20 10:41:35 +0000 2015,0,0,0,0,3,0,4,0,1,3,16,0,0
605750428005888002,2,0,Tue Jun 02 14:58:50 +0000 2015,0,1,4,2,3,0,15,1,0,6,16,0,0
593735665919139840,4,0,Thu Apr 30 11:16:28 +0000 2015,0,0,1,0,1,1,16,1,2,8,14,0,0
593735665919139840,4,0,Thu Apr 30 11:16:28 +0000 2015,0,0,1,0,1,1,16,1,2,8,14,0,0
593735665919139840,4,0,Thu Apr 30 11:16:28 +0000 2015,0,0,1,0,1,1,16,1,2,8,14,0,0
602650047151505408,2,0.5,Mon May 25 01:39:02 +0000 2015,3,3,3,0,3,10,19,0,0,7,17,0,0
602650047151505408,2,0.5,Mon May 25 01:39:02 +0000 2015,3,3,3,0,3,10,19,0,0,7,17,0,0
602650047151505408,2,0.5,Mon May 25 01:39:02 +0000 2015,3,3,3,0,3,10,19,0,0,7,17,0,0
602650047151505408,2,0.5,Mon May 25 01:39:02 +0000 2015,3,3,3,0,3,10,19,0,0,7,17,0,0
602650047151505408,2,0.5,Mon May 25 01:39:02 +0000 2015,3,3,3,0,3,10,19,0,0,7,17,0,0
602650047151505408,2,0.5,Mon May 25 01:39:02 +0000 2015,3,3,3,0,3,10,19,0,0,7,17,0,0
602650047151505408,2,0.5,Mon May 25 01:39:02 +0000 2015,3,3,3,0,3,10,19,0,0,7,17,0,0
601017285520797697,2,0,Wed May 20 13:31:01 +0000 2015,0,0,0,0,1,0,2,0,1,4,14,0,0
601017285520797697,2,0,Wed May 20 13:31:01 +0000 2015,0,0,0,0,1,0,2,0,1,4,14,0,0
601017285520797697,2,0,Wed May 20 13:31:01 +0000 2015,0,0,0,0,1,0,2,0,1,4,14,0,0
601017285520797697,2,0,Wed May 20 13:31:01 +0000 2015,0,0,0,0,1,0,2,0,1,4,14,0,0
590948807501697024,0,0,Wed Apr 22 18:42:29 +0000 2015,0,0,2,0,2,0,52,1,0,4,19,0,0
590948807501697024,0,0,Wed Apr 22 18:42:29 +0000 2015,0,0,2,0,2,0,52,1,0,4,19,0,0
590948807501697024,0,0,Wed Apr 22 18:42:29 +0000 2015,0,0,2,0,2,0,52,1,0,4,19,0,0
592822882939576320,2,0,Mon Apr 27 22:49:24 +0000 2015,0,0,1,1,4,2,5,1,1,6,21,1,1
592822882939576320,2,0,Mon Apr 27 22:49:24 +0000 2015,0,0,1,1,4,2,5,1,1,6,21,1,1
592822882939576320,2,0,Mon Apr 27 22:49:24 +0000 2015,0,0,1,1,4,2,5,1,1,6,21,1,1
592822882939576320,2,0,Mon Apr 27 22:49:24 +0000 2015,0,0,1,1,4,2,5,1,1,6,21,1,1
