id,comments_count,keywords_count,nouns_count,numerical_count,publication_date,punctuation_count,uppercase_count,entities_count,word_count,sentiment_count
558ead5a48d3e9201281982f,19,1,34,5,2010-02-22T15:20:28Z,32,53,46,275,-0.375
558ead5a48d3e9201281982f,19,1,34,5,2010-02-22T15:20:28Z,32,53,46,275,-0.375
558ead5a48d3e9201281982f,19,1,34,5,2010-02-22T15:20:28Z,32,53,46,275,-0.375
558ead5a48d3e9201281982f,19,1,34,5,2010-02-22T15:20:28Z,32,53,46,275,-0.375
558ead5a48d3e9201281982f,19,1,34,5,2010-02-22T15:20:28Z,32,53,46,275,-0.375
558ead5a48d3e92012819861,0,3,34,5,2011-02-19T00:00:00Z,31,55,75,391,-1.625
558ead5a48d3e92012819861,0,3,34,5,2011-02-19T00:00:00Z,31,55,75,391,-1.625
558ead5a48d3e92012819883,0,0,107,6,2014-04-01T22:46:10Z,52,142,122,610,-2.375
558ead5a48d3e92012819883,0,0,107,6,2014-04-01T22:46:10Z,52,142,122,610,-2.375
558ead5a48d3e92012819883,0,0,107,6,2014-04-01T22:46:10Z,52,142,122,610,-2.375
558ead5a48d3e92012819883,0,0,107,6,2014-04-01T22:46:10Z,52,142,122,610,-2.375
558ead5a48d3e9201281982e,248,1,58,7,2010-01-06T12:04:29Z,58,106,81,442,-2.125
558ead5a48d3e9201281982e,248,1,58,7,2010-01-06T12:04:29Z,58,106,81,442,-2.125
558ead5a48d3e920128197d8,0,11,44,8,2013-02-11T15:56:31Z,61,70,97,529,-2.375
558ead5a48d3e920128197d8,0,11,44,8,2013-02-11T15:56:31Z,61,70,97,529,-2.375
558ead5a48d3e920128197d8,0,11,44,8,2013-02-11T15:56:31Z,61,70,97,529,-2.375
558ead5a48d3e920128197d8,0,11,44,8,2013-02-11T15:56:31Z,61,70,97,529,-2.375
558ead5a48d3e92012819858,0,5,116,24,2010-05-16T00:00:00Z,139,178,231,1247,-4.0
558ead5a48d3e92012819858,0,5,116,24,2010-05-16T00:00:00Z,139,178,231,1247,-4.0
558ead5a48d3e92012819858,0,5,116,24,2010-05-16T00:00:00Z,139,178,231,1247,-4.0
